timestamp,elapsed_sec,token_count,torch_allocated_gb,torch_reserved_gb,torch_peak_gb,nvidia_smi_mb
2025-07-01T16:48:38.132007,18.27,3,2.1104,2.1265,2.1104,18831
2025-07-01T16:48:53.417996,33.56,8,2.119,2.1265,2.119,18897
2025-07-01T16:48:53.542861,33.69,9,2.1206,2.1286,2.1206,18915
2025-07-01T16:48:53.623039,33.77,10,2.1206,2.1307,2.1206,18951
2025-07-01T16:48:53.703717,33.85,11,2.1206,2.1286,2.1206,18955
2025-07-01T16:48:53.785293,33.93,12,2.1206,2.1307,2.1206,18971
2025-07-01T16:48:53.866426,34.01,13,2.1207,2.1286,2.1207,19007
2025-07-01T16:48:53.946324,34.09,14,2.1207,2.1286,2.1207,19009
2025-07-01T16:48:54.027248,34.17,15,2.1207,2.1286,2.1207,19019
2025-07-01T16:48:54.106524,34.25,16,2.1207,2.1286,2.1207,19027
2025-07-01T16:48:54.189559,34.33,17,2.1207,2.1286,2.1207,19037
2025-07-01T16:48:54.299346,34.44,18,2.1207,2.1307,2.1207,19045
2025-07-01T16:48:54.378884,34.52,19,2.1208,2.1286,2.1208,19103
2025-07-01T16:48:54.463115,34.61,20,2.1208,2.1307,2.1208,19125
2025-07-01T16:48:54.544530,34.69,21,2.1208,2.1286,2.1208,19131
2025-07-01T16:48:54.626069,34.77,22,2.1208,2.1286,2.1208,19159
2025-07-01T16:48:54.706286,34.85,23,2.1208,2.1286,2.1208,19159
2025-07-01T16:48:54.788518,34.93,24,2.1208,2.1286,2.1208,19159
2025-07-01T16:48:54.869670,35.01,25,2.1209,2.1286,2.1209,19159
2025-07-01T16:48:54.953293,35.1,26,2.1209,2.1307,2.1209,19161
2025-07-01T16:48:55.037061,35.18,27,2.1209,2.1286,2.1209,19187
2025-07-01T16:48:55.120380,35.26,28,2.1209,2.1307,2.1209,19189
2025-07-01T16:48:55.202948,35.35,29,2.1209,2.1286,2.1209,19207
2025-07-01T16:48:55.314974,35.46,30,2.1209,2.1286,2.1209,19207
2025-07-01T16:48:55.400904,35.54,31,2.121,2.1286,2.121,19215
2025-07-01T16:48:55.484365,35.63,32,2.121,2.1286,2.121,19215
2025-07-01T16:48:55.573476,35.72,33,2.121,2.1286,2.121,19215
2025-07-01T16:48:55.664263,35.81,34,2.121,2.1307,2.121,19237
2025-07-01T16:48:55.758232,35.9,35,2.121,2.1286,2.1211,19235
2025-07-01T16:48:55.843855,35.99,36,2.121,2.1307,2.1211,19237
2025-07-01T16:48:55.931912,36.07,37,2.1211,2.1286,2.1211,19255
2025-07-01T16:48:56.022918,36.17,38,2.1211,2.1286,2.1212,19255
